user_id,name,email,registration_date,country,age
1,User_1,user1@example.com,2024-01-01,BY,56
2,User_2,user2@test.org,2024-01-02,RU,53
3,User_3,user3@company.ru,2024-01-03,UZ,44
4,User_4,user4@mail.com,2024-01-04,KZ,60
5,User_5,,2024-01-05,RU,24
6,User_6,user6@test.org,2024-01-06,AM,62
7,User_7,user7@company.ru,2024-01-07,BY,58
8,User_8,user8@mail.com,2024-01-08,BY,42
9,User_9,user9@example.com,2024-01-09,RU,53
10,User_10,user10@test.org,2024-01-10,RU,42
11,User_11,user11@company.ru,2024-01-11,RU,30
12,User_12,user12@mail.com,2024-01-12,UZ,56
13,User_13,user13@example.com,2024-01-13,KZ,29
14,User_14,user14@test.org,2024-01-14,UZ,33
15,User_15,user15@company.ru,2024-01-15,RU,42
16,User_16,user16@mail.com,2024-01-16,RU,58
17,User_17,user17@example.com,2024-01-17,KZ,36
18,User_18,,2024-01-18,RU,41
19,User_19,user19@company.ru,2024-01-19,UZ,19
20,User_20,user20@mail.com,2024-01-20,KZ,23
21,User_21,user21@example.com,2024-01-21,BY,20
22,User_22,user22@test.org,2024-01-22,RU,21
23,User_23,user23@company.ru,2024-01-23,AM,59
24,User_24,user24@mail.com,2024-01-24,UZ,58
25,User_25,user25@example.com,2024-01-25,BY,57
26,User_26,user26@test.org,2024-01-26,RU,20
27,User_27,user27@company.ru,2024-01-27,RU,21
28,User_28,user28@mail.com,2024-01-28,RU,31
29,User_29,user29@example.com,2024-01-29,RU,45
30,User_30,user30@test.org,2024-01-30,KZ,34
31,User_31,user31@company.ru,2024-01-31,BY,41
32,User_32,user32@mail.com,2024-02-01,AM,-3
33,User_33,user33@example.com,2024-02-02,RU,53
34,User_34,user34@test.org,2024-02-03,RU,33
35,User_35,user35@company.ru,2024-02-04,RU,21
36,User_36,user36@mail.com,2024-02-05,RU,53
37,User_37,user37@example.com,2024-02-06,RU,61
38,User_38,user38@test.org,2024-02-07,RU,18
39,User_39,user39@company.ru,2024-02-08,RU,38
40,User_40,user40@mail.com,2024-02-09,KZ,57
41,User_41,user41@example.com,2024-02-10,RU,51
42,User_42,user42@test.org,2024-02-11,UZ,59
43,User_43,user43@company.ru,2024-02-12,BY,37
44,User_44,user44@mail.com,2024-02-13,RU,35
45,User_45,user45@example.com,2024-02-14,UZ,52
46,User_46,user46@test.org,2024-02-15,BY,25
